Price,House Type,Area in sq ft,No. of Bedrooms,Location,Post Code Category
3500000,Flat / Apartment,1770,2,410 Strand,CENTRAL LONDON
850000,Flat / Apartment,773,2,Barnsbury,NORTH LONDON
575000,Flat / Apartment,773,2,Chiswick,WEST LONDON
1575000,Flat / Apartment,1580,3,Prince of Wales Drive,CENTRAL LONDON
4750000,House,6602,6,Wimbledon,CENTRAL LONDON
1175000,House,1909,4,Putney,CENTRAL LONDON
1700000,House,2374,5,Wandsworth,CENTRAL LONDON
1000000,House,2125,2,131 Ladbroke Grove,CENTRAL LONDON
1635000,New development,903,2, City Of London,CITY OF LONDON
2400000,Flat / Apartment,1736,4, Bayswater,CENTRAL LONDON
1200000,New development,590,1, South Bank,SOUTH EAST LONDON
2300000,House,1912,3, Fulham,CENTRAL LONDON
1300000,Flat / Apartment,1465,3,Woodstock Road,WEST LONDON
1750000,House,1580,4,Fulham,CENTRAL LONDON
1395000,House,1902,5,Putney,CENTRAL LONDON
1385000,Flat / Apartment,2056,3, Putney,CENTRAL LONDON
3695000,House,2316,4,St James's,CENTRAL LONDON
3100000,Flat / Apartment,2470,4,Holland Park,CENTRAL LONDON
5500000,House,3674,4,Islington,NORTH LONDON
925000,Flat / Apartment,1012,3, Highbury,NORTH LONDON
550000,Penthouse,414,1, Hackney,EAST LONDON
260000,Studio,381,0,Hackney,EAST LONDON
550000,Flat / Apartment,547,1,Hertford Road,NORTH LONDON
2400000,House,2202,5,Hampstead,NORTH WEST LONDON
580000,New development,460,1, Wandsworth,CENTRAL LONDON
2300000,House,2785,5,Fulham,CENTRAL LONDON
400000,Flat / Apartment,774,2,20 Love Lane,SOUTH EAST LONDON
415000,Flat / Apartment,525,1, Canary Wharf,EAST LONDON
1395000,Penthouse,1230,2,2 Dallington Street,CITY OF LONDON
2800000,House,2734,6, Chiswick,WEST LONDON
1195000,Flat / Apartment,872,2,Chelsea,CENTRAL LONDON
2750000,Flat / Apartment,1839,4,Drayton Gardens,CENTRAL LONDON
6950000,House,5501,6,Hammersmith,WEST LONDON
2750000,House,2675,4,Battersea,CENTRAL LONDON
525000,Flat / Apartment,514,2,Wimbledon,CENTRAL LONDON
3750000,House,3256,3,Marylebone,CENTRAL LONDON
750000,Flat / Apartment,604,1, Chelsea,CENTRAL LONDON
650000,Flat / Apartment,584,1, Clerkenwell,CITY OF LONDON
1295000,House,1356,4,Chiswick,WEST LONDON
765000,Flat / Apartment,1362,3, Fulham,CENTRAL LONDON
1100000,House,1420,3,Barnes,CENTRAL LONDON
2350000,House,2153,4,Barnes,CENTRAL LONDON
965000,House,1222,4,Tooting Bec,CENTRAL LONDON
1750000,Flat / Apartment,732,1, Holland Park,CENTRAL LONDON
475000,Flat / Apartment,525,1,105 Maida Vale,CENTRAL LONDON
752500,New development,874,2,131-143 Belsize Road,NORTH WEST LONDON
2995000,House,3406,5,Between The Commons,SOUTH WEST LONDON
550000,Flat / Apartment,609,2,137-139 Queenstown Road,SOUTH WEST LONDON
625000,Flat / Apartment,428,1, Westminster,CENTRAL LONDON
2290000,Flat / Apartment,1604,2,St. James's,CENTRAL LONDON
3450000,House,1820,5,Chelsea,CENTRAL LONDON
995000,Flat / Apartment,710,2,Primrose Hill,NORTH WEST LONDON
450000,New development,538,1, Holloway,NORTH LONDON
850000,Flat / Apartment,935,2,Chiswick,WEST LONDON
975000,Flat / Apartment,950,2, Maida Vale,CENTRAL LONDON
940000,House,1074,3,Hackney,EAST LONDON
1695000,House,1944,5,Highbury,NORTH LONDON
399995,Flat / Apartment,472,1, Canary Wharf,EAST LONDON
5750000,House,4682,6,Barnes,CENTRAL LONDON
4650000,House,2865,4,Belgravia,CENTRAL LONDON
2650000,Flat / Apartment,1811,3, Parr's Way,WEST LONDON
525000,Flat / Apartment,775,1,142 Battersea Park Road,CENTRAL LONDON
1650000,Flat / Apartment,1099,2,Westminster,CENTRAL LONDON
850000,Flat / Apartment,726,2,Albany Street,NORTH WEST LONDON
2700000,House,1791,3,Notting Hill,CENTRAL LONDON
695000,House,795,2,Wimbledon,CENTRAL LONDON
2050000,House,1293,3,St John's Wood,NORTH WEST LONDON
615000,Flat / Apartment,972,2,Whitechapel,EAST LONDON
1000000,Flat / Apartment,1777,3, Putney,CENTRAL LONDON
1850000,New development,1328,3,2 Gatliff Road,CENTRAL LONDON
450000,Flat / Apartment,459,1,Bingham Court,NORTH LONDON
1395000,House,1068,1,Chiswick,WEST LONDON
725000,Flat / Apartment,858,3,42 Trinity Church Road,CENTRAL LONDON
2000000,House,2525,4,Barnes,CENTRAL LONDON
1350000,House,1328,3,Brackenbury Village,WEST LONDON
2100000,House,2191,4,Battersea,CENTRAL LONDON
1500000,Flat / Apartment,1132,3,Albert Bridge Road,CENTRAL LONDON
3625000,House,2190,4,Primrose Hill,NORTH WEST LONDON
1500000,Flat / Apartment,1274,2,Mill Street,SOUTH EAST LONDON
525000,Flat / Apartment,630,2,Barnes,CENTRAL LONDON
290000,Flat / Apartment,455,1,Banbury Road,EAST LONDON
1725000,House,2931,5,Putney,CENTRAL LONDON
1395000,House,1510,3,Islington,NORTH LONDON
1795000,House,2067,4, Putney,CENTRAL LONDON
1500000,House,1997,4,Ealing,CENTRAL LONDON
1600000,House,2149,4,Wandsworth,CENTRAL LONDON
1325000,Flat / Apartment,1195,3, Westminster,CENTRAL LONDON
1395000,House,1587,3,Camden,NORTH WEST LONDON
679000,Flat / Apartment,832,2, Canary Wharf,EAST LONDON
1500000,Flat / Apartment,1244,3,Park Walk,CENTRAL LONDON
4995000,House,3035,4,Little Venice,CENTRAL LONDON
1350000,House,1604,4,Putney,CENTRAL LONDON
600000,Flat / Apartment,660,2,Hackney,NORTH LONDON
875000,Flat / Apartment,627,1,28 Wapping High Street,EAST LONDON
565000,Flat / Apartment,872,2,Canary Wharf,EAST LONDON
1250000,Flat / Apartment,1201,2,48 Rigault Road,CENTRAL LONDON
1800000,Flat / Apartment,1453,3,Prince of Wales Drive,CENTRAL LONDON
1495000,New development,1781,4,New Road,NORTH LONDON
1050000,Flat / Apartment,1831,3,Wimbledon,CENTRAL LONDON
1850000,House,2503,5,Wimbledon,CENTRAL LONDON
2100000,House,2438,5,Barnes,CENTRAL LONDON
2250000,House,2600,5,Barnes,CENTRAL LONDON
1375000,House,1884,4,Wimbledon,SOUTH WEST LONDON
1400000,House,2138,5,Wandsworth,CENTRAL LONDON
635000,Flat / Apartment,927,2,Putney,CENTRAL LONDON
449950,Flat / Apartment,526,2,South Hackney,EAST LONDON
425000,Flat / Apartment,474,1,Shannon Place,NORTH WEST LONDON
1795000,House,1902,3,Putney,CENTRAL LONDON
1600000,Flat / Apartment,801,2,Primrose Hill,NORTH WEST LONDON
1750000,Flat / Apartment,1002,3,Kensington Park Gardens,CENTRAL LONDON
1900000,House,1703,5,Islington,NORTH LONDON
675000,Flat / Apartment,792,1,23 Wenlock Road,NORTH LONDON
1500000,New development,1273,3, Hackney,EAST LONDON
620000,New development,786,2, Holloway,NORTH LONDON
650000,Flat / Apartment,747,2,De Beauvoir,NORTH LONDON
500000,Flat / Apartment,663,1,Knighten Street,EAST LONDON
765000,New development,841,2,Carlton Drive,CENTRAL LONDON
1600000,House,1854,4,Barnes,CENTRAL LONDON
1699999,House,2119,5,Battersea,CENTRAL LONDON
950000,Flat / Apartment,1294,4,Battersea,CENTRAL LONDON
2150000,House,1582,3,Paddington,CENTRAL LONDON
2950000,Penthouse,1840,2,St James's,CENTRAL LONDON
1500000,House,1115,3,Fulham,CENTRAL LONDON
650000,Flat / Apartment,882,2,Asher Way,EAST LONDON
1575000,House,1983,4,Barnes,CENTRAL LONDON
525000,Flat / Apartment,707,2,Battersea,CENTRAL LONDON
775000,Flat / Apartment,967,2,South Hackney,EAST LONDON
3250000,House,2210,3,Putney,CENTRAL LONDON
3250000,House,2543,5,Hampstead,NORTH WEST LONDON
700000,Flat / Apartment,797,2,59 Lurline Gardens,CENTRAL LONDON
525000,Flat / Apartment,540,1,Putney,CENTRAL LONDON
2450000,House,3007,6,Wimbledon,SOUTH WEST LONDON
550000,House,538,2,Wimbledon,CENTRAL LONDON
3950000,House,6186,6,Wimbledon,CENTRAL LONDON
1450000,House,1984,5, Wandsworth,CENTRAL LONDON
5750000,House,2896,3,Belgravia,CENTRAL LONDON
180000,Flat / Apartment,745,2, Bow,EAST LONDON
210000,Studio,328,0, Putney,CENTRAL LONDON
18000000,House,8315,7,Mayfair,CENTRAL LONDON
2850000,House,2857,5,Islington,NORTH LONDON
1150000,Flat / Apartment,1074,3,Islington,NORTH LONDON
550000,Penthouse,414,1, Hackney,EAST LONDON
690000,New development,596,1, Hackney,EAST LONDON
995000,Flat / Apartment,999,2,Fortune Green,NORTH WEST LONDON
1000000,Penthouse,962,2,Putney,CENTRAL LONDON
1295000,House,1813,4,East Sheen,CENTRAL LONDON
1280000,Flat / Apartment,1169,2,Star Place,EAST LONDON
1425000,House,2028,4, Chiswick,WEST LONDON
1795000,House,1720,4,Barnes,CENTRAL LONDON
1125000,House,1423,4,Battersea,CENTRAL LONDON
945000,Flat / Apartment,1001,2,110 Battersea Park Road,CENTRAL LONDON
3150000,House,2809,5,Battersea,CENTRAL LONDON
699950,Flat / Apartment,920,2,Highbury,NORTH LONDON
1275000,House,1420,4,Chiswick,WEST LONDON
460000,Flat / Apartment,431,1,Abbey Road,NORTH WEST LONDON
6795000,House,4637,6,St John's Wood,NORTH WEST LONDON
1695000,House,2096,4,Putney,CENTRAL LONDON
900000,Flat / Apartment,769,2,Grays Inn,CENTRAL LONDON
1200000,Flat / Apartment,1155,3, Barnes,CENTRAL LONDON
1100000,House,1607,4,South Hackney,EAST LONDON
650000,New development,646,2,Kingsland Road,EAST LONDON
2950000,House,3716,5,East Sheen,CENTRAL LONDON
2450000,House,2313,4, Fulham,CENTRAL LONDON
625000,Flat / Apartment,652,2, St John's Wood,NORTH WEST LONDON
295000,Studio,344,0,Regent's Park,NORTH WEST LONDON
2350000,House,1519,4,St John's Wood,NORTH WEST LONDON
1999995,House,1935,5,Shoreditch,EAST LONDON
499000,Flat / Apartment,451,1,Camden,NORTH WEST LONDON
6450000,House,3336,5,Belgravia,CENTRAL LONDON
475000,New development,560,1,3 City North Place,NORTH LONDON
560000,New development,657,2, Holloway,NORTH LONDON
610000,New development,758,2, Holloway,NORTH LONDON
600000,New development,758,2, Holloway,NORTH LONDON
600000,Flat / Apartment,658,1,St. Peters Square,WEST LONDON
650000,Flat / Apartment,848,2, Battersea,CENTRAL LONDON
1795000,House,1824,5,Kentish Town,NORTH WEST LONDON
825000,Flat / Apartment,843,2,Fulham,CENTRAL LONDON
2350000,Flat / Apartment,2577,3,Old Street,NORTH LONDON
1200000,Flat / Apartment,932,2, Belsize Park,NORTH WEST LONDON
450000,Flat / Apartment,600,2,330 Garratt Lane,CENTRAL LONDON
3450000,House,3070,5,Fulham,CENTRAL LONDON
995000,Flat / Apartment,908,2,Pimlico,CENTRAL LONDON
795000,Flat / Apartment,1536,3,Wimbledon,CENTRAL LONDON
1775000,House,2336,5,Wimbledon,CENTRAL LONDON
549950,Flat / Apartment,730,1,Putney,CENTRAL LONDON
2600000,Flat / Apartment,1779,3,Little Venice,CENTRAL LONDON
3950000,House,1917,1,Knightsbridge,CENTRAL LONDON
1350000,House,1629,4,Highbury,NORTH LONDON
2750000,House,2500,5,Islington,NORTH LONDON
799950,Flat / Apartment,770,2,Hampstead,NORTH WEST LONDON
2895000,House,2730,5, Fulham,CENTRAL LONDON
799950,Flat / Apartment,940,3,Queens Club Gardens,CENTRAL LONDON
2250000,House,2949,6,Fulham,CENTRAL LONDON
2020000,New development,1262,3, Earls Court,CENTRAL LONDON
975000,House,1308,4,Tooting,CENTRAL LONDON
850000,Flat / Apartment,978,3, Clerkenwell,CITY OF LONDON
2400000,House,2411,4,Highgate,NORTH LONDON
475000,Flat / Apartment,496,1, Greenwich,SOUTH EAST LONDON
1200000,House,1934,4,Putney,CENTRAL LONDON
3250000,House,4370,6,Wimbledon,CENTRAL LONDON
2375000,House,2153,3,Islington,NORTH LONDON
650000,Flat / Apartment,595,2,Shannon Place,NORTH WEST LONDON
1295000,House,876,4,Putney,CENTRAL LONDON
1000000,House,905,2,Putney,CENTRAL LONDON
1885000,Flat / Apartment,1675,4,Prince of Wales Drive,CENTRAL LONDON
3495000,New development,4420,6, Wimbledon,SOUTH WEST LONDON
1200000,House,1378,3, Wandsworth,CENTRAL LONDON
1200000,House,1751,4, Wandsworth,CENTRAL LONDON
1600000,House,2330,5,Wandsworth,CENTRAL LONDON
799000,House,1214,3,Putney,CENTRAL LONDON
850000,Flat / Apartment,876,2,Putney,CENTRAL LONDON
2500000,House,1323,3,Marylebone,CENTRAL LONDON
3950000,House,2547,4,Hyde Park,CENTRAL LONDON
420000,New development,538,1, Holloway,NORTH LONDON
424995,Flat / Apartment,422,1,Hackney,EAST LONDON
2150000,Flat / Apartment,2074,4,East Heath Road,NORTH WEST LONDON
1500000,House,1645,3,Fulham,CENTRAL LONDON
550000,Flat / Apartment,600,1, Canary Wharf,EAST LONDON
475000,Flat / Apartment,381,1,Clerkenwell,CENTRAL LONDON
595000,Flat / Apartment,791,2,Edith Terrace,CENTRAL LONDON
2250000,House,2937,6,Barnes,CENTRAL LONDON
900000,Flat / Apartment,1218,3,Battersea,CENTRAL LONDON
1990000,Flat / Apartment,1560,2,St. James's,CENTRAL LONDON
1195000,House,1464,3,Wimbledon,CENTRAL LONDON
325000,Flat / Apartment,339,1,Victoria Park,EAST LONDON
850000,Flat / Apartment,1456,2, Putney,CENTRAL LONDON
879000,New development,1004,2, Putney,CENTRAL LONDON
575000,Flat / Apartment,695,2,Nightingale Lane,CENTRAL LONDON
4100000,Flat / Apartment,1496,2,Mayfair,CENTRAL LONDON
1800000,House,1919,3,Islington,NORTH LONDON
649950,Flat / Apartment,804,2,52 Holloway Road,NORTH LONDON
899950,Flat / Apartment,1143,2,West Hampstead,NORTH WEST LONDON
1595000,Flat / Apartment,1170,2,Kensington,CENTRAL LONDON
499000,New development,690,2,Mayflower Street,SOUTH EAST LONDON
3410000,Penthouse,2852,4,Riverside Quarter,CENTRAL LONDON
1650000,House,1756,4,Fulham,CENTRAL LONDON
1225000,House,1806,4,Fulham,WEST LONDON
1095000,House,950,2,Wimbledon,CENTRAL LONDON
550000,Flat / Apartment,904,2, Wimbledon,SOUTH WEST LONDON
1500000,House,2583,5, Wandsworth,CENTRAL LONDON
750000,Flat / Apartment,911,2, Wandsworth,CENTRAL LONDON
1150000,House,1822,5, Wandsworth,CENTRAL LONDON
665000,Flat / Apartment,647,2,Shannon Place,NORTH WEST LONDON
1250000,Flat / Apartment,1036,2,St. John's Wood,NORTH WEST LONDON
600000,Flat / Apartment,632,2,70 Webb's Road,CENTRAL LONDON
2450000,House,3020,6,Clapham,CENTRAL LONDON
895000,New development,1033,3,Islington,NORTH LONDON
1000000,Flat / Apartment,884,1, Hampstead,NORTH WEST LONDON
2300000,House,2124,4,Fulham,CENTRAL LONDON
375000,Flat / Apartment,444,1,Ealing,WEST LONDON
985000,Flat / Apartment,1140,2,Thirleby Road,CENTRAL LONDON
995000,House,1993,5,Wandsworth,CENTRAL LONDON
550000,Flat / Apartment,666,2, Shoreditch,EAST LONDON
7300000,Flat / Apartment,2230,3,Belgravia,CENTRAL LONDON
1250000,Flat / Apartment,885,2,Primrose Hill,NORTH WEST LONDON
3750000,House,2396,4,Hyde Park Estate,CENTRAL LONDON
430000,Studio,514,1,Clapham Common North Side,SOUTH WEST LONDON
830000,Flat / Apartment,891,2,Clapham Common North Side,SOUTH WEST LONDON
1100000,Flat / Apartment,635,1,Fitzrovia,CENTRAL LONDON
3100000,New development,1410,3,Covent Garden,CENTRAL LONDON
2650000,House,3319,6,Highbury,NORTH LONDON
450000,Flat / Apartment,569,2,Hurlock Street,NORTH LONDON
650000,Flat / Apartment,720,2,Hackney,EAST LONDON
799950,Flat / Apartment,956,2, West Hampstead,NORTH WEST LONDON
1250000,Penthouse,1209,2, Fulham,CENTRAL LONDON
775000,Flat / Apartment,810,1,Clerkenwell,CITY OF LONDON
800000,House,1080,3,Acton,WEST LONDON
1850000,House,1735,4,Barnes,CENTRAL LONDON
1500000,House,1108,3,Barnes,CENTRAL LONDON
750000,Flat / Apartment,686,1, Battersea,CENTRAL LONDON
1985000,Flat / Apartment,1492,3, Battersea,CENTRAL LONDON
1100000,Flat / Apartment,1125,2,St. John's Wood,NORTH WEST LONDON
650000,Flat / Apartment,674,2,Clerkenwell,CITY OF LONDON
4500000,House,2145,3,Belgravia,CENTRAL LONDON
4750000,New development,2552,4,Notting Hill,CENTRAL LONDON
2150000,House,2172,3,Highgate,NORTH LONDON
695000,Flat / Apartment,964,2,Ealing,WEST LONDON
1100000,Flat / Apartment,816,2,Star Place,EAST LONDON
649999,New development,569,1,211-227 Hackney Road,EAST LONDON
1500000,House,1868,5,Chiswick,WEST LONDON
725000,House,960,3,Hartington Road,WEST LONDON
400000,Flat / Apartment,491,1,South Hackney,EAST LONDON
4750000,House,2157,4,Belgravia,CENTRAL LONDON
925000,Flat / Apartment,931,2,Islington,NORTH LONDON
1800000,House,1776,5,Fulham,CENTRAL LONDON
2950000,House,3144,6,Fulham,CENTRAL LONDON
795000,New development,825,2, Fulham,CENTRAL LONDON
795000,Flat / Apartment,798,2, Imperial Wharf,CENTRAL LONDON
499999,Flat / Apartment,452,1, Longfield Avenue,WEST LONDON
398000,New development,461,1,Ashton Reach,SOUTH EAST LONDON
1150000,House,1259,3,Barnes,CENTRAL LONDON
655000,Flat / Apartment,703,2,Clerkenwell,CITY OF LONDON
375000,Flat / Apartment,482,1,Hoxton,NORTH LONDON
2395000,House,2221,4,Primrose Hill,NORTH WEST LONDON
1750000,Flat / Apartment,2203,3,Fitzrovia,CENTRAL LONDON
2100000,House,2137,5,Barnes,CENTRAL LONDON
775000,House,1414,4,Battersea,CENTRAL LONDON
1575000,House,2379,5,Wandsworth,CENTRAL LONDON
650000,Flat / Apartment,1091,3,27 Frampton Park Road,EAST LONDON
8750000,New development,2755,3,6 Campden Hill,CENTRAL LONDON
699999,New development,878,2,5 Danvers Avenue,CENTRAL LONDON
1750000,House,2540,5,East Sheen,CENTRAL LONDON
1380000,House,1737,5,Chiswick,WEST LONDON
5500000,House,4666,7,Barnes,CENTRAL LONDON
3050000,House,3717,5,Wimbledon,CENTRAL LONDON
2350000,House,3594,5,Wimbledon,CENTRAL LONDON
5250000,Flat / Apartment,2026,3,Knightsbridge,CENTRAL LONDON
3375000,Flat / Apartment,913,2,Knightsbridge,CENTRAL LONDON
1700000,Flat / Apartment,1138,3,13-15 St. Petersburgh Place,CENTRAL LONDON
4650000,Penthouse,2231,4,Mayfair,CENTRAL LONDON
2100000,Flat / Apartment,1074,2, Mayfair,CENTRAL LONDON
390000,New development,506,1,2  City North Place,NORTH LONDON
2000000,Flat / Apartment,1997,4,Earl's Court,CENTRAL LONDON
4250000,House,4774,7,Wandsworth,CENTRAL LONDON
985000,Flat / Apartment,1295,3,Putney,CENTRAL LONDON
1500000,Flat / Apartment,1275,3,Pimlico,CENTRAL LONDON
950000,House,1357,3,Wimbledon,CENTRAL LONDON
699950,Flat / Apartment,786,2, Wimbledon,CENTRAL LONDON
725000,Flat / Apartment,1134,2,Wandsworth,CENTRAL LONDON
465000,Flat / Apartment,473,1,Shannon Place,NORTH WEST LONDON
500000,Flat / Apartment,451,1,Abbey Road,NORTH WEST LONDON
5750000,Flat / Apartment,2524,3,Knightsbridge,CENTRAL LONDON
5450000,Flat / Apartment,1650,2,60 Brompton Road,CENTRAL LONDON
775000,Flat / Apartment,820,2,Putney,CENTRAL LONDON
699950,Penthouse,907,2, Putney,CENTRAL LONDON
249999,Flat / Apartment,458,1,Streatham Hill,SOUTH WEST LONDON
3300000,House,3448,4,Little Venice,CENTRAL LONDON
1600000,Flat / Apartment,1402,2,Fitzrovia,CENTRAL LONDON
1790000,Penthouse,890,2, Fitzrovia,CENTRAL LONDON
4950000,Flat / Apartment,2817,6, Marylebone,CENTRAL LONDON
2650000,Flat / Apartment,1027,2,Mayfair,CENTRAL LONDON
990000,New development,820,2,82-88 Fulham High Street,CENTRAL LONDON
1650000,New development,1259,3, Smithfield Market,CITY OF LONDON
765000,New development,618,1,10 Gatliff Road,CENTRAL LONDON
1100000,Flat / Apartment,1095,2, Shoreditch,NORTH LONDON
474950,Flat / Apartment,540,1,Hackney,EAST LONDON
2450000,Penthouse,1879,3,Hampstead,NORTH WEST LONDON
650000,Flat / Apartment,668,1, Hampstead,NORTH WEST LONDON
1000000,Penthouse,1539,2,4 Woodland Crescent,SOUTH EAST LONDON
1250000,Flat / Apartment,1085,2, Clerkenwell,CITY OF LONDON
1100000,House,1112,3,Chiswick,WEST LONDON
1200000,House,1517,4,Chiswick,WEST LONDON
4000000,House,5108,5,Barnes,CENTRAL LONDON
1250000,House,1952,3, Barnes,CENTRAL LONDON
699950,Flat / Apartment,816,2,Prince of Wales Drive,CENTRAL LONDON
585000,Flat / Apartment,552,1,Prince of Wales Drive,CENTRAL LONDON
800000,House,1148,3,Battersea,CENTRAL LONDON
1450000,House,2131,4,Wandsworth,CENTRAL LONDON
2000000,House,2518,5,Wandsworth,CENTRAL LONDON
995000,Flat / Apartment,814,2,St John's Wood,NORTH WEST LONDON
3250000,Flat / Apartment,917,2,Piccadilly,CENTRAL LONDON
875000,Flat / Apartment,570,2,Marylebone,CENTRAL LONDON
750000,Flat / Apartment,633,2,Marylebone,CENTRAL LONDON
7500000,House,2693,4,South Kensington,CENTRAL LONDON
5950000,Penthouse,3002,4,Stanford Road,CENTRAL LONDON
7600000,New development,2238,3, Kensington,CENTRAL LONDON
565000,New development,739,2,3 City North Place,NORTH LONDON
1435000,House,1341,3,Islington,NORTH LONDON
485000,Flat / Apartment,822,2,De Beauvoir,NORTH LONDON
545000,New development,691,1, Battersea,CENTRAL LONDON
640000,New development,691,2, Battersea,CENTRAL LONDON
545000,New development,577,1, Battersea,CENTRAL LONDON
1850000,Penthouse,2120,3,Putney,CENTRAL LONDON
1460000,New development,1399,3,Putney,CENTRAL LONDON
2200000,House,2266,5,Barnes,CENTRAL LONDON
3550000,Flat / Apartment,1862,3,Vauxhall,SOUTH WEST LONDON
1195000,House,1271,3,Wimbledon,CENTRAL LONDON
1995000,House,2620,5,Wimbledon,SOUTH WEST LONDON
1585000,House,1712,4,Wimbledon,CENTRAL LONDON
2695000,House,3924,6,Wimbledon,SOUTH WEST LONDON
2990000,House,3067,6,Wimbledon,CENTRAL LONDON
1875000,House,2422,5,Wandsworth,CENTRAL LONDON
650000,Flat / Apartment,623,2,Shannon Place,NORTH WEST LONDON
559000,Flat / Apartment,513,1, Aldgate,EAST LONDON
2000000,Flat / Apartment,1520,2,Belgravia,CENTRAL LONDON
425000,Flat / Apartment,592,1, Putney,CENTRAL LONDON
2200000,Flat / Apartment,1163,3,Marylebone,CENTRAL LONDON
1750000,House,1224,3,Marylebone,CENTRAL LONDON
3500000,House,2216,4,Islington,NORTH LONDON
1850000,Flat / Apartment,1623,4,Islington,NORTH LONDON
2295000,Flat / Apartment,2039,3,Hampstead,NORTH WEST LONDON
925000,Flat / Apartment,730,1,Hampstead,NORTH WEST LONDON
1418000,New development,1335,3, Canary Wharf,EAST LONDON
1300000,House,1685,4,Chiswick,WEST LONDON
2400000,House,2425,5,Barnes,CENTRAL LONDON
825000,Flat / Apartment,853,3, Fulham,CENTRAL LONDON
635000,Flat / Apartment,634,2,Hammersmith,WEST LONDON
699950,House,883,2,Wimbledon,CENTRAL LONDON
725000,New development,784,2, Putney,CENTRAL LONDON
1350000,Flat / Apartment,628,1,Notting Hill,CENTRAL LONDON
650000,New development,560,1,82-88 Fulham High Street,CENTRAL LONDON
750000,Flat / Apartment,599,1,Chelsea,CENTRAL LONDON
825000,Penthouse,1226,2,158 Northchurch Road,NORTH LONDON
350000,Studio,425,0,Ealing,WEST LONDON
765000,Flat / Apartment,1025,4,Marius Road,CENTRAL LONDON
2950000,Penthouse,3451,5,Limehouse,EAST LONDON
999950,Flat / Apartment,792,2,Finsbury,CITY OF LONDON
1200000,House,1710,4, Chiswick,WEST LONDON
1250000,House,1395,4,Chiswick,WEST LONDON
